game,season,home_team,away_team,starting_min,outcome,home_players,away_players,player_removed
6031,4,23,19,37,-1,"[33, 155, 449, 965]","[63, 513, 529, 604, 882]",392
8499,7,27,2,36,1,"[150, 369, 675, 780]","[17, 36, 464, 693, 999]",361
3277,2,19,34,17,-1,"[101, 276, 594, 1037]","[36, 58, 229, 467, 757]",537
5740,4,27,33,13,-1,"[150, 369, 448, 717]","[14, 129, 311, 347, 371]",668
5600,4,6,8,22,-1,"[58, 175, 407, 815]","[78, 140, 155, 583, 990]",216
6057,4,3,34,37,-1,"[196, 222, 607, 696]","[36, 414, 518, 701, 776]",287
10734,8,5,26,40,1,"[461, 477, 576, 763]","[350, 368, 394, 412, 642]",737
8129,6,18,20,33,-1,"[164, 270, 649, 839]","[16, 330, 380, 847, 869]",716
7653,6,1,27,21,-1,"[451, 473, 585, 814]","[369, 448, 645, 668, 780]",82
1109,0,11,10,28,1,"[176, 654, 812, 1035]","[55, 84, 462, 694, 738]",901
10304,8,12,29,19,1,"[129, 130, 645, 860]","[135, 250, 759, 771, 815]",210
7263,6,18,10,18,-1,"[25, 222, 640, 658]","[135, 240, 386, 599, 925]",541
2025,1,26,23,17,-1,"[590, 641, 848, 953]","[317, 427, 745, 804, 1040]",463
7576,6,3,20,46,-1,"[94, 362, 576, 815]","[61, 330, 380, 852, 869]",712
949,0,8,28,35,-1,"[29, 318, 634, 671]","[114, 399, 691, 977, 1040]",140
6559,5,10,11,20,1,"[240, 320, 738, 925]","[154, 191, 531, 610, 790]",115
5845,4,33,29,17,-1,"[14, 129, 311, 347]","[232, 250, 292, 341, 488]",813
2282,1,7,13,20,1,"[69, 335, 460, 495]","[185, 195, 543, 915, 962]",660
431,0,11,0,37,-1,"[176, 562, 812, 901]","[339, 538, 692, 875, 912]",654
9913,8,0,26,46,1,"[515, 726, 913, 952]","[25, 394, 412, 479, 563]",581
10351,8,30,16,6,1,"[77, 221, 568, 969]","[157, 556, 653, 681, 899]",958
2183,1,7,3,8,-1,"[335, 460, 464, 541]","[326, 462, 696, 748, 827]",286
9904,8,34,1,24,-1,"[108, 604, 668, 796]","[82, 473, 574, 814, 995]",518
10653,8,24,14,21,-1,"[63, 284, 327, 933]","[483, 527, 873, 944, 1021]",868
2685,2,6,10,16,1,"[216, 737, 881, 1016]","[130, 185, 573, 859, 927]",35
3761,3,1,27,7,-1,"[578, 585, 796, 825]","[33, 150, 448, 462, 931]",814
3607,2,19,26,43,-1,"[101, 124, 276, 455]","[43, 566, 641, 690, 879]",161
3028,2,12,9,29,-1,"[220, 453, 721, 989]","[29, 821, 834, 850, 947]",822
3663,2,9,4,0,-1,"[72, 821, 850, 947]","[85, 269, 499, 517, 998]",834
